title,full_title,address,phones,tags,website,vk,facebook,youtube,instagram,description,profile_picture,route,sledge_hockey,sledge_hockey_link,metro,court_size,city,lat,lan,gallery,mails,whats_app,tiktok,classmates,twitter
Ледовая арена Айсберг Химки,Ледовая арена Айсберг Химки,"г.Химки, ул. ул. Пожарского, вл. 22а, кор. -",{+7 (495) 740-64-47+7 (985) 364-43-34},"{Бросковая зона, Зона ОФП, Сухой лед, Гимнастический зал, Массовое катание, Хоккейное катание, Фигурное катание, Раздевалки, Кафе, Парковка, Заточка коньков, Душ, Инвентарь, Бесплатный Wi-Fi}",http://www.arenaiceberg.ru/,,https://www.facebook.com/%D0%90%D1%80%D0%B5%D0%BD%D0%B0-%D0%90%D0%B9%D1%81%D0%B1%D0%B5%D1%80%D0%B3-555553834648833,,http://www.instagram.com/arenaiceberg,"ДЛЯ РАСПИСАНИЯ И ЦЕН, А ТАКЖЕ ОНЛАЙН ЗАПИСИ НАЖМИТЕ КНОПКУ ""ЗАБРОНИРОВАТЬ ОНЛАЙН""  В РАЗДЕЛЕ ""РАСПИСАНИЕ""  ВЫШЕ

Крытый круглогодичный ледовый комплекс. Ледовая арена Айсберг расположена на севере Москвы на пересечении МКАД и Северно-Восточной хорды. В Ледовой арене Айсберг проводят занятия такие хоккейные школы, и секций фигурного катания для детей и взрослых, как Хоккейная школа HockeyWay, Школа фигурного катания Л. Пахомова «Динамо», Школа фигурного катания Гребенкиной, Школа фигурного катания Черкасовой и ряд других.  Если Вы хотите просто покататься на коньках, в ледовом комплексе также есть сеансы массового катания.  

Помимо ледовой арены и уютного кафе в ледовом комплексе Айсберг имеется свой специализированный центр хоккейной подготовки. Он разделен на 4 основных зоны: бросковая (3 зоны, тренировки проходят на коньках), зона катания и дриблинга (только на коньках), игровая зона (футбол, флорбол), зона ОФП. Можно арендовать весь зал целиком, а также отдельные зоны. Есть также гимнастический зал для фигуристов. При желании можно организовать индивидуальную тренировку или в мини-группе на льду или в центре хоккейной тренировки: бросковую тренировку, тренировку на технику катания, дриблинг и владение шайбой, бросковую тренировку.

Уютное кафе имеет прекрасный вид на ледовую арену. Ледовая арена имеет свою бесплатную парковку. Есть заточка коньков.",http://ledokat.ru/image/original/rink/1/5d17d3e8c0a715.36912173.jpg,https://arenaiceberg.ledokat.ru,,,{},,г.Химки,55.890068,37.486796,"{http://ledokat.ru/image/original/rink/1/5d0e3bb8205e44.06554499.jpg, http://ledokat.ru/image/original/rink/1/5d0e3bb88aa2f5.75114603.jpg, http://ledokat.ru/image/original/rink/1/5d0e3bb8e7f495.87147724.jpg}",{},,,,
Физкультурно-Спортивный комплекс САЛЮТ,Физкультурно-Спортивный комплекс САЛЮТ,"г.Долгопрудный, ул. пр-т Ракетостроителей, 4, кор. 1",{+7 (495) 576-02-92+7 (495) 576-10-00+7 (495) 576-12-32},"{Зона ОФП, Тренажерный зал, Гимнастический зал, Массовое катание, Хоккейное катание, Фигурное катание, Раздевалки, Парковка, Заточка коньков, Душ, Аренда коньков, Инвентарь}",http://www.dol-sport.ru,http://www.vk.com/stadionsalut,https://www.facebook.com/foksalut,http://www.youtube.com/channel/UCqHMjETwbCk50nT7IoRkrMg?view_as=subscriber,http://www.instagram.com/stadion_salut/,,http://ledokat.ru/image/original/rink/28/5d221dd7b3d7a9.11061498.jpg,https://katok-salyut.ledokat.ru,,,{},,г.Долгопрудный,55.935208,37.511212,"{http://ledokat.ru/image/original/rink/28/5d221dd647fd05.09654595.jpg, http://ledokat.ru/image/original/rink/28/5d221dd5ac7e82.42291235.jpg, http://ledokat.ru/image/original/rink/28/5d221dd5185070.47820222.jpg, http://ledokat.ru/image/original/rink/28/5d221dd6b1d5c7.80966776.jpg}",{},,,,
Каток Остров,Каток Остров,"г.Москва, ул. Остравитянова, 10",{+7 (495) 532-00-12+7 (495) 532-00-21},"{Зона ОФП, Зона СФП, Гимнастический зал, Массовое катание, Хоккейное катание, Фигурное катание, Раздевалки, Кафе, Парковка, Заточка коньков, Душ, Аренда коньков, Инвентарь}",https://sport-vsegda.ru/stadion_ostrovityanova,https://vk.com/sportvsegda_ru,https://www.facebook.com/sportvsegda.ru,,https://www.instagram.com/sportvsegda.ru/,,http://ledokat.ru/image/original/rink/39/5d3449bcf35d01.00634014.jpg,https://katok-ostrov.ledokat.ru,,,{Коньково},,г.Москва,55.638648,37.503891,"{http://ledokat.ru/image/original/rink/39/5d3449bd7f0ce4.92363586.jpg, http://ledokat.ru/image/original/rink/39/5d3449bc6b8642.88671259.jpg, http://ledokat.ru/image/original/rink/39/5d3449bbb37644.64926384.jpg}",{},,,,
ТВОЙ ЛЕД,ТВОЙ ЛЕД,"г.Москва, ул. Коровинское шоссе, 35, кор. 9",{+7 (905) 543-19-47},"{Бросковая зона, Зона ОФП, Зона СФП, Массовое катание, Хоккейное катание, Фигурное катание, Раздевалки, Кафе, Парковка, Заточка коньков, Душ, Инвентарь, Оплата картой}",,,,,,,http://ledokat.ru/image/original/rink/45/5f7340e911b9b8.05660970.jpg,https://tvoi-led.ledokat.ru,,,{Ховрино},,г.Москва,55.879389,37.506478,{},{},,,,
Спортивный комплекс 1 - ПРИМЕР,Спортивный комплекс 1 - ПРИМЕР,"г.Москва, ул. Ленинградское ш, 1",{+7 (000) 000-00-00},"{Бросковая зона, Зона ОФП, Гимнастический зал, Массовое катание, Хоккейное катание, Фигурное катание, Ночное катание, Раздевалки, Кафе, Парковка, Заточка коньков, Душ, Инвентарь}",http://ledokat.ru,,,,,Это тестовый пример страницы ледовой арены для демонстрации возможностей системы,http://ledokat.ru/image/original/rink/57/602ea1752a20e9.65974930.jpg,https://ledokat-primer.ledokat.ru,,,{Аэропорт Ховрино},,г.Москва,55.756994,37.614006,{},{},,,,
Genesis  Arena,Genesis  Arena,"г.Долгопрудный, ул. Береговой пр-д, 3, кор. А стр. 1",{+7 (916) 093-17-37+7 (929) 626-25-12},"{Зона ОФП, Зона СФП, Тренажерный зал, Массовое катание, Хоккейное катание, Фигурное катание, Ночное катание, Раздевалки, Кафе, Парковка, Заточка коньков, Душ, Инвентарь, Медкабинет, Оплата картой}",http://arenagenesis.ru,,,,https://www.instagram.com/arena_genesis/,"ЧТОБЫ УЗНАТЬ РАСПИСАНИЕ И ЦЕНЫ НАЖМИТЕ КНОПКУ ""ЗАБРОНИРОВАТЬ ОНЛАЙН"" ВЫШЕ.  

Genesis Arena - современный ледовый спортивный комплекс, предназначенный для тренировок, хоккеистов и хоккейных команд, тренировок по фигурному катанию, индивидуальных тренировок и подкаток, а также для проведения соревнований для хоккеистов и фигуристов. Genesis Arena расположена на севере Москвы в 5 минутах езды от МКАДа в г. Долгопрудный. В комплексе имеется два ледовых поля – Большая арена размерами 61/30м. и Малая арена 27/12м.  В Genesis Arena также есть зона ОФП, сауна, кафе, комфортабельные раздевалки. Есть профессиональная заточка коньков.

В Genesis Arena проводится обучение хоккею и фигурному катанию детей начиная с трех лет, есть своя школа по хоккею и школа по фигурному катанию. Тренировки детей и взрослых проходят под руководством опытных тренеров.

В Genesis Arena организованы сеансы массового катания на коньках для любителей, возможна организация массовых и культурных мероприятий на льду. А для веселых и романтичных натур Genesis Arena предлагает свидания, праздники и дискотеки на льду.

Для удобства клиентов Genesis Arena работает круглосуточно 24 часа и 7 дней в неделю.",http://ledokat.ru/image/original/rink/124/5d3492cadc9919.63000959.jpg,https://arena-genesis.ledokat.ru,,,{},,г.Долгопрудный,55.907561,37.490092,{http://ledokat.ru/image/original/rink/124/5dc034d551ab13.60322261.jpg},{},,,,
Реутов Арена,Реутов Арена,"г.Реутов, ул. Юбилейный проспект, 43",{+7 (993) 777-37-77},"{Бросковая зона, Зона ОФП, Хоккейное катание, Фигурное катание, Раздевалки, Кафе, Парковка, Душ, Инвентарь}",https://reutovarena.ru,https://vk.com/reutovarena,https://www.facebook.com/reutovarena,,https://www.instagram.com/reutov_arena,,http://ledokat.ru/image/original/rink/438/5d8fb8502c33b4.62860625.jpg,https://reutov-arena.ledokat.ru,,,{},,г.Реутов,55.752815,37.874652,"{http://ledokat.ru/image/original/rink/438/5d8fb84fd3d2b6.15570189.jpg, http://ledokat.ru/image/original/rink/438/5d8fb84f89a6c5.47546749.jpg}",{},,,,
Академия хоккея им В.В.Петрова,Академия хоккея им В.В.Петрова,"г.Красногорск, ул. Лесная, 1, кор. а",{+7 (495) 369-07-16},"{Бросковая зона, Зона ОФП, Зона СФП, Сухой лед, Тренажерный зал, Хоккейная беговая дорожка, Массовое катание, Хоккейное катание, Раздевалки, Парковка, Душ, Инвентарь}",http://www.petrovacademy.ru,https://vk.com/petrovacademy,https://www.facebook.com/petrovacademy/,,https://www.instagram.com/petrov_academy/,,http://ledokat.ru/image/original/rink/511/5ffc8311e198a1.80346750.jpg,https://hockeyacademypetrova.ledokat.ru,,,{},,г.Красногорск,55.830439,37.324960,{http://ledokat.ru/image/original/rink/511/5ffc83111d5278.63302500.jpg},{},,,,
КСП Текстильщик,КСП Текстильщик,"г.Королев, ул. Советская, 7",{+7 (910) 437-30-05},"{Массовое катание, Хоккейное катание}",,,,,,,http://ledokat.ru/image/original/rink/541/604a4da99014f9.83242898.jpg,https://tekstilzhik.ledokat.ru,,,{},,г.Королев,55.947868,37.871876,{},{},,,,
Хоккейная школа Hockey Way,Хоккейная школа Hockey Way,"г.Москва, ул. -",{+7 (495) 150-99-97},"{Бросковая зона, Зона ОФП, Зона СФП, Сухой лед, Хоккейное катание, Раздевалки, Душ, Инвентарь}",https://hockeyway.ru,https://vk.com/hockeyway,https://www.facebook.com/groups/hockeyway/,https://www.youtube.com/channel/UCAxeZx4rzpvb8COw1U6SAQg,https://www.instagram.com/ice_hockeyway/,"Наша школа уже 8 лет помогает юным хоккеистам решать эти проблемы в короткие сроки.
Каждому ребенку уделяется много времени и внимания, постоянный контроль правильности выполнения упражнения.На наших тренировках дети занимаются в группах численностью менее 30 человек и с ними работают 4-5 специалистов. Это является гарантией высокого внимания, исполнения и результата от наших тренировок. 

За 8 лет мы подготовили по методике А.В. Бирюкова много детей в ведущих СДЮШОРы Москвы и России , и все научились правильно кататься и владеть клюшкой, также всем детям привилась дисциплина, целеустремленность и улучшилось здоровье.

Основой подготовки является индивидуальный подход к игроку, тщательно продуманный план развития и его контроль в процессе обучения. Высококвалифицированный тренерский состав, использует методики Бирюкова Александра Викторовича, которые помогли Бирюкову вырастить звёздных игроков: Павел Буре, Андрей Скабелка, Петров Олег, Башкатов Егор, Звягин Сергей, Сапрыкин Олег и многих других хоккейных звезд! Здесь не просто учат кататься на коньках, владеть клюшкой и шайбой. В школе воспитываются лидеры, способные играть в одной команде!",http://ledokat.ru/image/original/rink/592/612cee30a3eb48.07794458.jpg,https://hockeyway.ledokat.ru,,,{},,г.Москва,55.797210,37.595402,"{http://ledokat.ru/image/original/rink/592/612ceecea28194.70663792.jpg, http://ledokat.ru/image/original/rink/592/612ceecf1d9c48.38587494.jpg, http://ledokat.ru/image/original/rink/592/612ceed012d3d6.27608788.jpg}",{},,,,
