title,description,minidescription,city,type,level,profile_picture,is_visible,phones,mails,instagram,vk,website,whats_app,facebook,classmates,tiktok,twitter,youtube,gallery
А-Линия,"Хоккейный клуб «А-Линия» без преувеличения можно назвать старейшим клубом Москвы. Он был образован в далеком 1998 году, и вырос из обыкновенной дворовой команды: в районе Бирюлево Западное, построили ледовый каток. В те годы, когда развитие массового спорта не входило в число приоритетных направлений государственной политики, это воспринималось как подарок судьбы.  Хоккейные площадки Москвы были наперечет.
Молодые люди, играющие до этого только в зимний сезон на открытых площадках, пришли к директору катка с просьбой арендовать лед. Им было отказано.  Тогда они обратились к Бородаевой Алине , как к депутату. Алина Юрьевна, занимающая активную жизненную позицию, сумела решить вопрос – уговорила директора катка, но с условием, что молодые люди будут организованы в команду, а возглавит ее сама Алина. Появилось и название команды. Его придумали ребята-хоккеисты. «А» – первая буква алфавита, начало всему, обязывает к достижениям, «Линия» – движение вперед.
На протяжении многих лет, в хоккейный клуб «А-Линия» входило от 4 до 10 любительских  команд.
 
Управление:
Управлением старейшим любительским  клубом  Москвы , занимается Бородаева Алина Юрьевна ( первая и единственная в мире женщина –президент ХК «А-Линия», имеет четыре высших образования, является создателем и генеральным директором сети медицинских центров «А-Линия»,  депутат двух созывов ).  Данным клубом Алина Бородаева руководит более 20 лет. За это время произошло много изменений и реорганизаций, но командный дух и воля к победе до сих пор остается неизменным!
Неоднократно, на протяжении всех  20 лет существования клуба , многие коллеги- хоккеисты говорили о том, что женщины и хоккей- вещь не совместимые. И только Бородаевой Алине удалось напрочь разбить данные стереотипы, доказав обратное на деле, и заслужив признание в «мужском мире хоккея»
 
Уникальность клуба:
 Любительский хоккейный клуб «А-Линия» -  является основоположником создания Ассоциации любительского хоккея. Более того, ХК «А-Линия» стала самой первой командой, которая вошла в состав АЛХ.
Помимо этого, ХК «А-Линия»- это первая любительская команда, которая выдвинула инициативу на создание соревнований на Кубок Главы Управы, и блестяще ее реализовала. На таком положительном результате, в дальнейшем были созданы более крупные соревнования : «Кубок главы муниципалитета» , «Кубок Префекта», «Кубок Мера».
Так же,  ХК «А-Линия» приняла участие в Первом открытом чемпионате по хоккею г. Москвы среди мужских любительских хоккейных команд.
 
Наши достижения:
Чемпионат по хоккею среди мужских команд – 2003 г. 3 место – Открытый чемпионат Москвы среди мужских команд – 2004 г. 3 место – Кубок главы управы Бирюлёво Западное – 2003г. 1 место – Кубок главы управы Бирюлёво Западное – 2004г. 1 место – Кубок главы управы Бирюлёво Западное – 2005г. 2 место – Чемпионаты ХК А Линия – Кубок муниципалитета Бирюлёво Западное
- Ночная Хоккейная Лига 2016-2017гг  6 дивизион- 2 место","Хоккейный клуб «А-Линия» без преувеличения можно назвать старейшим клубом Москвы. Он был образован в далеком 1998 году, и вырос из обыкновенной дворовой команды: в районе Бирюлево Западное, построили ледовый каток. В те годы, когда развитие массового спорта не входило в число приоритетных направлений государственной политики, это воспринималось как подарок судьбы.  Хоккейные площадки Москвы были наперечет.
Молодые люди, играющие до этого только в зимний сезон на открытых площадках, пришли к директору катка с просьбой арендовать лед. Им было отказано.  Тогда они обратились к Бородаевой Алине , как к депутату. Алина Юрьевна, занимающая активную жизненную позицию, сумела решить вопрос – уговорила директора катка, но с условием, что молодые люди будут организованы в команду, а возглавит ее сама Алина. Появилось и название команды. Его придумали ребята-хоккеисты. «А» – первая буква алфавита, начало всему, обязывает к достижениям, «Линия» – движение вперед.
На протяжении многих лет, в хоккейный клуб «А-Линия» входило от 4 до 10 любительских  команд.
 
Управление:
Управлением старейшим любительским  клубом  Москвы , занимается Бородаева Алина Юрьевна ( первая и единственная в мире женщина –президент ХК «А-Линия», имеет четыре высших образования, является создателем и генеральным директором сети медицинских центров «А-Линия»,  депутат двух созывов ).  Данным клубом Алина Бородаева руководит более 20 лет. За это время произошло много изменений и реорганизаций, но командный дух и воля к победе до сих пор остается неизменным!
Неоднократно, на протяжении всех  20 лет существования клуба , многие коллеги- хоккеисты говорили о том, что женщины и хоккей- вещь не совместимые. И только Бородаевой Алине удалось напрочь разбить данные стереотипы, доказав обратное на деле, и заслужив признание в «мужском мире хоккея»
 
Уникальность клуба:
 Любительский хоккейный клуб «А-Линия» -  является основоположником создания Ассоциации любительского хоккея. Более того, ХК «А-Линия» стала самой первой командой, которая вошла в состав АЛХ.
Помимо этого, ХК «А-Линия»- это первая любительская команда, которая выдвинула инициативу на создание соревнований на Кубок Главы Управы, и блестяще ее реализовала. На таком положительном результате, в дальнейшем были созданы более крупные соревнования : «Кубок главы муниципалитета» , «Кубок Префекта», «Кубок Мера».
Так же,  ХК «А-Линия» приняла участие в Первом открытом чемпионате по хоккею г. Москвы среди мужских любительских хоккейных команд.
 
Наши достижения:
Чемпионат по хоккею среди мужских команд – 2003 г. 3 место – Открытый чемпионат Москвы среди мужских команд – 2004 г. 3 место – Кубок главы управы Бирюлёво Западное – 2003г. 1 место – Кубок главы управы Бирюлёво Западное – 2004г. 1 место – Кубок главы управы Бирюлёво Западное – 2005г. 2 место – Чемпионаты ХК А Линия – Кубок муниципалитета Бирюлёво Западное
- Ночная Хоккейная Лига 2016-2017гг  6 дивизион- 2 место",г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_1597_20170817201634.jpg,null,{},{},,,,,,,,,,"{https://msk.nhliga.org/data/teams/photo/large/team_photo_2846_20180809184640.jpg, https://msk.nhliga.org/data/teams/form/large/team_form_2846_20180809184640.jpg}"
Авангард,,,г. Северодвинск,,,https://arh.nhliga.org/data/teams/logo/200/teamlogo_5338_20191025131456.jpg,null,{},{},,,,,,,,,,"{https://arh.nhliga.org/data/teams/photo/large/team_photo_6492_20201127145953.jpg, https://arh.nhliga.org/data/teams/form/large/team_form_6492_20210407114713.jpg}"
Авангард,,,г. Тамбов,,,https://tambov.nhliga.org/data/teams/logo/200/teamlogo_3505_20180822161136.jpg,null,{},{},,,,,,,,,,"{https://tambov.nhliga.org/data/teams/photo/large/team_photo_3505_20181128122429.jpg, https://tambov.nhliga.org/data/teams/form/large/team_form_3505_20180822161136.jpg}"
Авиатор 40+,,,г. Новосибирск,,,https://nsk.nhliga.org/data/teams/logo/200/t_logo_1506_Aviator_40_1_27122017_143120.jpg,null,{},{},,,,,,,,,,{https://nsk.nhliga.org/data/teams/form/default_form.jpg}
Авторитет,"Команда ""Авторитет"" создана в 2008 году.                                      
Неоднократные призеры и победители первенства Амурской области и города Благовещенска по хоккею. Четырехкратные победители отборочного этапа НХЛ в Амурской области и участники финала НХЛ в г. Сочи.  ХК ""Авторитет"" неоднократно входила в 10 лучших любительских команд России в своем дивизионе (Лига Надежды).","Команда ""Авторитет"" создана в 2008 году.                                      
Неоднократные призеры и победители первенства Амурской области и города Благовещенска по хоккею. Четырехкратные победители отборочного этапа НХЛ в Амурской области и участники финала НХЛ в г. Сочи.  ХК ""Авторитет"" неоднократно входила в 10 лучших любительских команд России в своем дивизионе (Лига Надежды).",г. Благовещенск,,,https://amurobl.nhliga.org/data/teams/logo/200/teamlogo_1437_20170426151724.jpg,null,{},{},,,,,,,,,,"{https://amurobl.nhliga.org/data/teams/photo/large/team_photo_4842_20190909113434.jpg, https://amurobl.nhliga.org/data/teams/form/large/team_form_1437_20170421142710.jpg}"
Айс Дакс,"Кто мы??Мы - молодая команда юных энтузиастов, средним возрастом слегка за 40 и средним весом чуть за 100.Мы все разные, из разных отраслей. Мы и юристы, и строители, и банкиры, и госслужащие, и айтишники, да кто только не мы!Почти все мы встали на коньки, начав играть в хоккей 5 лет назад. Сильно уставали, зато учились в форме, в шлемах и почти не ушибались.
Почему мы Утки? А чтобы разным хищным животным с большими когтями, острыми зубами и грозными оскалами если что обидно было, а нам не было! Шутка! Все росомахи, тигры, волки, орлы и акулы с медведями были заняты
У нас нет спонсоров – все сами, назло любому кризису, мало игровой практики, нет громких побед над именитыми соперниками, но есть командная и личные победы над собой, дружный и сплоченный коллектив, огромное желание играть, соревноваться и побеждать, конечно же, мы тоже обязательно хотим!
С дружбой и, непременно, с юмором и самоиронией, решительно идем мы в НХЛ навстречу своим первым победам и пределам, чтобы обязательно их преодолеть и гордиться своей командой, каждым ее игроком, болельщиками и тренером.
Искренне Ваши,Впервые на арене НХЛ,Команда Ice Ducks","Кто мы??Мы - молодая команда юных энтузиастов, средним возрастом слегка за 40 и средним весом чуть за 100.Мы все разные, из разных отраслей. Мы и юристы, и строители, и банкиры, и госслужащие, и айтишники, да кто только не мы!Почти все мы встали на коньки, начав играть в хоккей 5 лет назад. Сильно уставали, зато учились в форме, в шлемах и почти не ушибались.
Почему мы Утки? А чтобы разным хищным животным с большими когтями, острыми зубами и грозными оскалами если что обидно было, а нам не было! Шутка! Все росомахи, тигры, волки, орлы и акулы с медведями были заняты
У нас нет спонсоров – все сами, назло любому кризису, мало игровой практики, нет громких побед над именитыми соперниками, но есть командная и личные победы над собой, дружный и сплоченный коллектив, огромное желание играть, соревноваться и побеждать, конечно же, мы тоже обязательно хотим!
С дружбой и, непременно, с юмором и самоиронией, решительно идем мы в НХЛ навстречу своим первым победам и пределам, чтобы обязательно их преодолеть и гордиться своей командой, каждым ее игроком, болельщиками и тренером.
Искренне Ваши,Впервые на арене НХЛ,Команда Ice Ducks",г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_5868_20200917100924.jpg,null,{},{},,,,,,,,,,"{https://msk.nhliga.org/data/teams/photo/large/team_photo_5868_20200928025038.jpg, https://msk.nhliga.org/data/teams/form/large/team_form_5868_20200928025038.jpg}"
Айс Про,,,г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_5861_20200917100856.jpg,null,{},{},,,,,,,,,,{https://msk.nhliga.org/data/teams/form/default_form.jpg}
Айс Файтерс,"Хоккейный Клуб «Ice Fighters» был основан в 2012 году страстными любителями хоккея, профессиональными спортсменами и продюсерами промоутерской компании «Fight Night Globl» Бату Хасиковым и Камилом Гаджиевым.","Хоккейный Клуб «Ice Fighters» был основан в 2012 году страстными любителями хоккея, профессиональными спортсменами и продюсерами промоутерской компании «Fight Night Globl» Бату Хасиковым и Камилом Гаджиевым.",г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_4650_20190806153523.jpg,null,{},{},,,,,,,,,,"{https://msk.nhliga.org/data/teams/photo/large/team_photo_5838_20201003052939.jpeg, https://msk.nhliga.org/data/teams/form/large/team_form_5838_20201003052939.jpeg}"
Айс Файтерс 2,,,г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_5869_20200916185922.jpg,null,{},{},,,,,,,,,,{https://msk.nhliga.org/data/teams/form/large/team_form_5869_20200916185922.jpg}
Акулы,,,г. Москва,,,https://msk.nhliga.org/data/teams/logo/200/teamlogo_7127_20210908122757.jpg,null,{},{},,,,,,,,,,{https://msk.nhliga.org/data/teams/form/default_form.jpg}
